Clock frequency is approx. 3691.5 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	14594	7874	4947	3708	2967	2472	2107	1834	1692	1613	1490	1424	1384	1346	1340	
64m	14589	7908	4981	3694	2994	2469	2105	1848	1704	1608	1489	1422	1379	1343	1356	
32m	14874	7970	4972	3747	2979	2495	2082	1839	1699	1598	1483	1419	1385	1355	1359	
16m	15333	8239	5265	3911	3124	2540	2179	1910	1776	1643	1548	1499	1461	1502	1581	
8m	27094	18559	13600	10249	8175	6890	5950	5254	4964	4716	4578	4410	4305	4231	4170	
4m	30667	20700	14774	11200	8992	7555	6516	5723	5274	5005	4745	4521	4384	4271	4221	
2m	30707	20639	14444	10972	8957	7509	6499	5717	5333	5002	4741	4522	4383	4270	4239	
1024k	30771	20668	14779	11155	8978	7546	6488	5730	5337	5020	4746	4522	4386	4267	4236	
512k	30505	20435	14753	11178	8981	7539	6501	5719	5309	5010	4753	4533	4399	4314	4390	
256k	31344	23466	19156	15063	12135	10236	8819	7884	7578	7355	7196	7496	7453	7525	7778	
128k	31537	27705	25005	21543	19482	16881	14415	12519	12441	12882	13009	12873	12909	12706	12836	
64k	31703	27955	25366	22601	19789	16470	14557	12491	12842	12672	12638	12848	13151	13671	21362	
32k	34286	32745	32593	31533	31787	31351	31191	28529	29662	30693	32524	30354	27522	28890	29532	
16k	34112	33378	31548	31500	30929	29126	31297	27392	26347	27610	24759	23008	25278	28045	32249	
