size	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15
128m	12552	6704	4856	3577	2953	2424	2076	1786	1636	1547	1468	1353	1345	1332	1342
64m	14305	7617	4796	3613	2933	2433	2098	1840	1697	1612	1487	1396	1382	1361	1341
32m	14580	7720	4819	3655	2794	2457	2092	1860	1710	1598	1486	1395	1343	1327	1362
16m	14752	8164	4902	3968	3227	2668	2307	2057	1903	1725	1455	1670	1673	1684	1700
8m	29368	19923	14223	10929	8862	7409	6433	5696	5369	5082	4853	4663	4544	4493	4432
4m	30721	21021	14896	11377	9153	7694	6657	5866	5512	5216	4971	4782	4667	4569	4507
2m	30614	21016	14944	11377	9169	7693	6644	5873	5507	5231	4983	4789	4659	4571	4508
1024k	30573	20894	14861	11362	9121	7675	6627	5854	5498	5211	4950	4760	4662	4570	4485
512k	30735	21082	14880	11319	9135	7688	6665	5838	5483	5211	4994	4812	4693	4674	4688
256k	31363	24778	20404	16669	13607	11625	10003	8804	8547	8262	8124	7878	7893	7841	8057
128k	31914	27971	26439	23284	20253	16881	14469	12923	12991	13024	12944	13048	13193	13046	13209
64k	31878	27820	27133	24038	19813	16855	14400	13369	12953	13055	13144	12997	12968	13802	21619
32k	34228	33378	33293	31933	31787	30269	30262	29360	29662	30929	30201	30631	29070	29786	28388
16k	34170	33489	32567	31500	30929	30631	29786	28966	27648	27610	25098	23994	25697	26497	24730
